number,stpost,state,fip,year,id,V Mean,V.sd,V.lo,V.up,V Median,S,eg,eg.sd,eg.lo,eg.up,abs_eg,avg_eg,lag_eg,mcg_eg,bias,mmd,unc,majwin,dwin,plan,plancode,planelections,n,wrongwin,popdeviation,firstelection,commission,court,unified,divided,unified_dem,unified_rep,non-unified,pop_black,pop_hisp,seats_black,seats_hisp,urbanization,control
774,WI,Wisconsin,55,2014,WI2014,0.480,0.4,47.2,48.8,0.411,0.364,-0.096,0.008,-0.113,-0.081,0.096,-0.115,-0.133,,-0.116,-0.069,52,99,36,5,WI5,2,99,,,0,0,0,1,0,0,1,0,0.064,0.068,0.040,0.020,0.710,-1
775,WY,Wyoming,56,1992,WY1992,0.469,0.6,45.7,47.9,0.454,0.317,-0.121,0.012,-0.142,-0.097,0.121,-0.085,,-0.089,-0.033,-0.014,15,60,19,3,WY3,5,60,,,1,0,0,0,1,0,0,1,0.008,0.058,0.000,0.000,0.667,0
776,WY,Wyoming,56,1994,WY1994,0.396,1.0,37.6,41.7,0.391,0.217,-0.075,0.021,-0.116,-0.035,0.075,-0.085,-0.121,-0.120,-0.050,-0.005,33,60,13,3,WY3,5,60,,,0,0,0,0,1,0,0,1,0.008,0.060,0.000,0.000,0.663,0
777,WY,Wyoming,56,1996,WY1996,0.417,0.8,39.8,43.2,0.409,0.283,-0.050,0.016,-0.080,-0.013,0.050,-0.085,-0.075,-0.070,-0.083,-0.008,27,60,17,3,WY3,5,60,,,0,0,0,0,1,0,0,1,0.007,0.061,0.000,0.033,0.659,0
778,WY,Wyoming,56,1998,WY1998,0.423,1.7,39.0,45.6,0.408,0.283,-0.064,0.034,-0.129,0.003,0.064,-0.085,-0.050,-0.081,-0.067,-0.015,32,60,17,3,WY3,5,60,,,0,0,0,0,1,0,0,1,0.007,0.063,0.000,0.017,0.655,0
779,WY,Wyoming,56,2000,WY2000,0.424,0.8,40.6,44.0,0.402,0.233,-0.114,0.017,-0.146,-0.079,0.114,-0.085,-0.064,-0.130,-0.067,-0.022,31,60,14,3,WY3,5,60,,,0,0,0,0,1,0,0,1,0.007,0.064,0.000,0.017,0.651,0
780,WY,Wyoming,56,2002,WY2002,0.416,1.3,38.9,44.0,0.386,0.250,-0.082,0.026,-0.129,-0.028,0.082,-0.026,-0.114,-0.088,-0.100,-0.030,31,60,15,4,WY4,5,60,,,1,0,0,1,0,0,1,0,0.007,0.069,0.000,0.017,0.650,-1
781,WY,Wyoming,56,2004,WY2004,0.400,1.3,37.4,42.4,0.357,0.233,-0.067,0.025,-0.114,-0.016,0.067,-0.026,-0.082,-0.082,-0.133,-0.043,35,60,14,4,WY4,5,60,,,0,0,0,1,0,0,1,0,0.007,0.074,0.000,0.017,0.650,-1
782,WY,Wyoming,56,2006,WY2006,0.414,2.2,36.8,45.2,0.383,0.283,-0.044,0.044,-0.120,0.048,0.044,-0.026,-0.067,-0.085,-0.083,-0.030,41,60,17,4,WY4,5,60,,,0,0,0,1,0,0,1,0,0.008,0.079,0.000,0.033,0.649,-1
783,WY,Wyoming,56,2008,WY2008,0.388,1.2,36.6,41.1,0.346,0.317,0.040,0.023,-0.005,0.085,0.040,-0.026,-0.044,-0.066,-0.050,-0.042,36,60,19,4,WY4,5,60,,,0,0,0,1,0,0,1,0,0.008,0.084,0.017,0.017,0.649,-1
784,WY,Wyoming,56,2010,WY2010,0.322,2.3,27.8,36.8,0.272,0.167,0.022,0.047,-0.068,0.110,0.022,-0.026,0.040,-0.027,-0.167,-0.050,40,60,10,4,WY4,5,60,,,0,0,0,1,0,0,1,0,0.008,0.089,0.017,0.017,0.648,-1
785,WY,Wyoming,56,2012,WY2012,0.389,2.0,34.6,42.2,0.380,0.150,-0.127,0.039,-0.194,-0.041,0.127,-0.095,0.022,-0.149,-0.067,-0.009,42,60,9,5,WY5,2,60,,0.098,1,0,0,1,0,0,1,0,0.008,0.094,0.033,0.017,0.647,-1
786,WY,Wyoming,56,2014,WY2014,0.357,1.6,32.5,38.5,0.322,0.150,-0.063,0.031,-0.120,-0.001,0.063,-0.095,-0.127,,-0.067,-0.034,39,60,9,5,WY5,2,60,,,0,0,0,1,0,0,1,0,0.008,0.099,0.017,0.017,0.647,-1
