district,year,plan,winner,winner_plan
35,1998,CA3,D,D
36,1998,CA3,R,X
37,1998,CA3,D,D
38,1998,CA3,R,R
39,1998,CA3,R,R
40,1998,CA3,R,R
41,1998,CA3,R,R
42,1998,CA3,D,D
43,1998,CA3,R,R
44,1998,CA3,R,R
45,1998,CA3,R,R
46,1998,CA3,D,X
47,1998,CA3,R,R
48,1998,CA3,R,R
49,1998,CA3,R,X
50,1998,CA3,D,D
51,1998,CA3,R,R
52,1998,CA3,R,R
1,2000,CA3,D,X
2,2000,CA3,R,R
3,2000,CA3,R,X
4,2000,CA3,R,R
5,2000,CA3,D,D
6,2000,CA3,D,D
7,2000,CA3,D,D
8,2000,CA3,D,D
9,2000,CA3,D,D
10,2000,CA3,D,X
11,2000,CA3,R,R
12,2000,CA3,D,D
13,2000,CA3,D,D
14,2000,CA3,D,D
15,2000,CA3,D,X
16,2000,CA3,D,D
17,2000,CA3,D,D
18,2000,CA3,D,D
19,2000,CA3,R,X
20,2000,CA3,D,D
21,2000,CA3,R,R
22,2000,CA3,D,X
23,2000,CA3,R,R
24,2000,CA3,D,D
25,2000,CA3,R,R
26,2000,CA3,D,D
27,2000,CA3,D,X
28,2000,CA3,R,R
29,2000,CA3,D,D
30,2000,CA3,D,D
31,2000,CA3,D,D
32,2000,CA3,D,D
33,2000,CA3,D,D
34,2000,CA3,D,D
35,2000,CA3,D,D
36,2000,CA3,D,X
37,2000,CA3,D,D
38,2000,CA3,R,R
39,2000,CA3,R,R
40,2000,CA3,R,R
41,2000,CA3,R,R
42,2000,CA3,D,D
43,2000,CA3,R,R
44,2000,CA3,R,R
45,2000,CA3,R,R
46,2000,CA3,D,X
47,2000,CA3,R,R
48,2000,CA3,R,R
49,2000,CA3,D,X
50,2000,CA3,D,D
51,2000,CA3,R,R
52,2000,CA3,R,R
1,2002,CA4,D,D
2,2002,CA4,R,R
3,2002,CA4,R,R
4,2002,CA4,R,R
5,2002,CA4,D,D
6,2002,CA4,D,D
7,2002,CA4,D,D
8,2002,CA4,D,D
9,2002,CA4,D,D
10,2002,CA4,D,D
11,2002,CA4,R,X
12,2002,CA4,D,D
13,2002,CA4,D,D
14,2002,CA4,D,D
15,2002,CA4,D,D
16,2002,CA4,D,D
17,2002,CA4,D,D
18,2002,CA4,D,D
19,2002,CA4,R,R
20,2002,CA4,D,D
21,2002,CA4,R,R
22,2002,CA4,R,R
23,2002,CA4,D,D
24,2002,CA4,R,R
25,2002,CA4,R,R
26,2002,CA4,R,R
27,2002,CA4,D,D
28,2002,CA4,D,D
29,2002,CA4,D,D
30,2002,CA4,D,D
31,2002,CA4,D,D
32,2002,CA4,D,D
33,2002,CA4,D,X
34,2002,CA4,D,D
35,2002,CA4,D,D
36,2002,CA4,D,D
37,2002,CA4,D,D
38,2002,CA4,D,D
39,2002,CA4,D,D
40,2002,CA4,R,R
41,2002,CA4,R,R
42,2002,CA4,R,R
43,2002,CA4,D,D
44,2002,CA4,R,R
45,2002,CA4,R,R
46,2002,CA4,R,R
47,2002,CA4,D,D
48,2002,CA4,R,R
49,2002,CA4,R,R
50,2002,CA4,R,R
51,2002,CA4,D,D
52,2002,CA4,R,R
53,2002,CA4,D,D
1,2004,CA4,D,D
2,2004,CA4,R,R
3,2004,CA4,R,R
4,2004,CA4,R,R
5,2004,CA4,D,D
6,2004,CA4,D,D
7,2004,CA4,D,D
8,2004,CA4,D,D
9,2004,CA4,D,D
10,2004,CA4,D,D
11,2004,CA4,R,X
12,2004,CA4,D,D
13,2004,CA4,D,D
14,2004,CA4,D,D
15,2004,CA4,D,D
16,2004,CA4,D,D
17,2004,CA4,D,D
18,2004,CA4,D,D
19,2004,CA4,R,R
20,2004,CA4,D,D
21,2004,CA4,R,R
22,2004,CA4,R,R
23,2004,CA4,D,D
24,2004,CA4,R,R
25,2004,CA4,R,R
26,2004,CA4,R,R
27,2004,CA4,D,D
28,2004,CA4,D,D
29,2004,CA4,D,D
30,2004,CA4,D,D
31,2004,CA4,D,D
32,2004,CA4,D,D
33,2004,CA4,D,X
34,2004,CA4,D,D
35,2004,CA4,D,D
36,2004,CA4,D,D
37,2004,CA4,D,D
38,2004,CA4,D,D
39,2004,CA4,D,D
40,2004,CA4,R,R
41,2004,CA4,R,R
42,2004,CA4,R,R
43,2004,CA4,D,D
44,2004,CA4,R,R
45,2004,CA4,R,R
46,2004,CA4,R,R
47,2004,CA4,D,D
48,2004,CA4,R,R
49,2004,CA4,R,R
50,2004,CA4,R,R
51,2004,CA4,D,D
52,2004,CA4,R,R
53,2004,CA4,D,D
1,2006,CA4,D,D
2,2006,CA4,R,R
3,2006,CA4,R,R
4,2006,CA4,R,R
5,2006,CA4,D,D
6,2006,CA4,D,D
7,2006,CA4,D,D
8,2006,CA4,D,D
9,2006,CA4,D,D
10,2006,CA4,D,D
11,2006,CA4,D,X
12,2006,CA4,D,D
13,2006,CA4,D,D
14,2006,CA4,D,D
15,2006,CA4,D,D
16,2006,CA4,D,D
17,2006,CA4,D,D
18,2006,CA4,D,D
19,2006,CA4,R,R
20,2006,CA4,D,D
21,2006,CA4,R,R
22,2006,CA4,R,R
23,2006,CA4,D,D
24,2006,CA4,R,R
25,2006,CA4,R,R
26,2006,CA4,R,R
27,2006,CA4,D,D
28,2006,CA4,D,D
29,2006,CA4,D,D
30,2006,CA4,D,D
31,2006,CA4,D,D
32,2006,CA4,D,D
33,2006,CA4,R,X
34,2006,CA4,D,D
35,2006,CA4,D,D
36,2006,CA4,D,D
37,2006,CA4,D,D
38,2006,CA4,D,D
39,2006,CA4,D,D
40,2006,CA4,R,R
41,2006,CA4,R,R
